职位名称,公司名称,经纬度,jobid,薪资,城市,学历要求,经验要求,公司性质,行业,发布时间,薪资下限(k),薪资上限(k),平均薪资(k),纬度,经度,主城市,区县,学历等级,经验年限
电子工程师,成都安铭汇信息技术,"['30.645738', '104.110504']",162905180,9千-1.2万,成都-锦江区,大专,无需经验,民营,计算机软件,2025-11-24 11:38:53,9.0,12.0,10.5,30.645738,104.110504,成都,锦江区,3.0,0.0
电子工程师,成都至诚云连通信科技,"['30.685917', '104.150751']",164308995,4-8千,成都-成华区,大专,无需经验,民营,通信/电信/网络设备,2025-12-26 08:54:22,4.0,8.0,6.0,30.685917,104.150751,成都,成华区,3.0,0.0
硬件电子工程师,宜宾九博信息技术,"['30.586929', '104.083059']",164382160,6-8千,成都-武侯区,大专,1年,民营,电子技术/半导体/集成电路,2025-11-29 09:51:11,6.0,8.0,7.0,30.586929,104.083059,成都,武侯区,3.0,1.0
电子工程师,郑州如森信息科技,"['30.582795', '104.073597']",150877388,7.5千-1.1万,成都-高新区,大专,无需经验,民营,计算机软件,2025-09-15 08:42:03,7.5,11.0,9.2,30.582795,104.073597,成都,高新区,3.0,0.0
2026届硬件测试实习生（可转正）(J10420),成都新易盛通信技术,"['30.478667', '104.009857']",168753693,9-12万/年,成都-双流区,本科,在校生/应届生,已上市,通信/电信/网络设备,2025-12-01 14:51:28,7.5,10.0,8.8,30.478667,104.009857,成都,双流区,4.0,0.0
技术中心实习生-成都,世强先进（深圳）科技,"['30.791893', '103.851552']",168641751,130元/天,成都-郫都区,本科,在校生/应届生,民营,电子技术/半导体/集成电路,2025-10-15 16:17:49,2.9,2.9,2.9,30.791893,103.851552,成都,郫都区,4.0,0.0
硬件工程师实习岗位,宜宾九博信息技术,"['30.586929', '104.083059']",164121532,3-6千,成都-武侯区,大专,1年及以上,民营,电子技术/半导体/集成电路,2025-11-29 09:51:11,3.0,6.0,4.5,30.586929,104.083059,成都,武侯区,3.0,1.0
渗透测试工程师,四川科航锐科技,"['30.665568', '104.076985']",162493299,4-7千,成都-青羊区,大专,无需经验,民营,计算机软件,2025-12-26 09:50:22,4.0,7.0,5.5,30.665568,104.076985,成都,青羊区,3.0,0.0
硬件研发工程师,北京中泽精电科技,"['30.635394', '104.005818']",69350781,1-1.5万,成都,本科,无需经验,民营,仪器仪表/工业自动化,2025-11-28 08:59:53,10.0,15.0,12.5,30.635394,104.005818,成都,,4.0,0.0
测试工程师,爱佩仪智能装备,"['30.566018', '104.194881']",155878101,5-8千,成都,本科,1年及以上,外资（欧美）,仪器仪表/工业自动化,2025-12-16 10:08:09,5.0,8.0,6.5,30.566018,104.194881,成都,,4.0,1.0
软件实习生,四川金誉房地产土地资产评估,"['30.641885', '104.11408']",169896391,3千及以下,成都-锦江区,本科,无需经验,民营,房地产,2025-12-19 09:44:18,3.0,3.0,3.0,30.641885,104.11408,成都,锦江区,4.0,0.0
物联网 嵌入式 单片机工程师,四川纳贝卓科技,"['30.600939', '104.069084']",165005930,6千-1.2万,成都-高新区,本科,无需经验,民营,计算机软件,2025-12-26 08:53:07,6.0,12.0,9.0,30.600939,104.069084,成都,高新区,4.0,0.0
软件工程师,成都佳驰电子科技,"['30.786759', '103.847703']",166901045,1.2-2万,成都-郫都区,本科,在校生/应届生,民营,航天/航空,2025-12-26 13:15:11,12.0,20.0,16.0,30.786759,103.847703,成都,郫都区,4.0,0.0
嵌入式软件工程师（linux）,成都蜀智云创科技,"['30.610781', '103.985947']",166695577,4-8千,成都-武侯区,大专,无需经验,民营,电子技术/半导体/集成电路,2025-12-26 14:33:57,4.0,8.0,6.0,30.610781,103.985947,成都,武侯区,3.0,0.0
软件工程师,民航成都电子技术,"['30.362878', '103.897573']",168014340,8千-1.5万,成都,本科,无需经验,国企,电子技术/半导体/集成电路,2025-12-26 14:43:02,8.0,15.0,11.5,30.362878,103.897573,成都,,4.0,0.0
单片机嵌入式开发,四川纳贝卓科技,"['30.600939', '104.069084']",163992584,4-8千,成都-高新区,本科,无需经验,民营,计算机软件,2025-12-26 08:53:06,4.0,8.0,6.0,30.600939,104.069084,成都,高新区,4.0,0.0
软件工程师,成都博恩思医学机器人,"['30.5552', '104.077695']",166744746,150元/天,成都-高新区,本科,在校生/应届生,民营,医疗设备/器械,2025-12-08 16:11:06,3.3,3.3,3.3,30.5552,104.077695,成都,高新区,4.0,0.0
电子工程师（FPGA/嵌入式实习）,成都蜀智云创科技,"['30.610781', '103.985947']",165403435,4-7千,成都-武侯区,大专,无需经验,民营,电子技术/半导体/集成电路,2025-12-26 14:33:58,4.0,7.0,5.5,30.610781,103.985947,成都,武侯区,3.0,0.0
硬件工程师（应届生）,深圳万讯自控,"['30.576667', '104.067369']",151078671,1-1.5万,成都,硕士,在校生/应届生,已上市,仪器仪表/工业自动化,2025-12-06 16:02:08,10.0,15.0,12.5,30.576667,104.067369,成都,,5.0,0.0
嵌入式Linux应用开发,四川纳贝卓科技,"['30.600939', '104.069084']",164516117,4-8千,成都-高新区,大专,无需经验,民营,计算机软件,2025-12-26 08:53:07,4.0,8.0,6.0,30.600939,104.069084,成都,高新区,3.0,0.0
SoC芯片软件工程师-校招,江苏卓胜微电子,"['30.514937', '104.091037']",167128396,1.5-1.8万,成都,硕士,在校生/应届生,合资,电子技术/半导体/集成电路,2025-09-28 16:18:10,15.0,18.0,16.5,30.514937,104.091037,成都,,5.0,0.0
电子技术研发工程师,成都伯格特钢琴自动演奏系统,"['30.678048', '103.970607']",152337894,7千-1.2万,成都-青羊区,本科,无需经验,外资（欧美）,电子技术/半导体/集成电路,2025-11-07 14:55:32,7.0,12.0,9.5,30.678048,103.970607,成都,青羊区,4.0,0.0
软件开发工程师,明瑞电子（成都）,"['30.687965', '103.965681']",168547000,8千-1.4万·14薪,成都,本科,1年及以上,外资（非欧美）,通信/电信/网络设备,2025-11-18 11:14:38,6.9,12.0,9.4,30.687965,103.965681,成都,,4.0,1.0
校招-测试工程师,成都国星通信,"['30.739093', '103.975585']",167724123,20-23万/年,成都,硕士,无需经验,已上市,通信/电信/网络设备,2025-12-18 09:46:01,16.7,19.2,17.9,30.739093,103.975585,成都,,5.0,0.0
C++实习生,成都迪格天河科技,"['30.584419', '104.069771']",138917817,100元/天,成都-高新区,本科,在校生/应届生,民营,计算机软件,2025-12-10 10:49:02,2.2,2.2,2.2,30.584419,104.069771,成都,高新区,4.0,0.0
软件/硬件工程师,成都美方力信科技,"['30.598415', '103.951114']",169267569,120元/天,成都-双流区,大专,无需经验,民营,批发/零售,2025-12-21 21:36:11,2.6,2.6,2.6,30.598415,103.951114,成都,双流区,3.0,0.0
电子工程师,石家庄鸣迅信息技术,"['30.582084', '104.068342']",162663472,8千-1万·13薪,成都,大专,无需经验,民营,计算机软件,2025-11-25 01:33:42,7.4,9.2,8.3,30.582084,104.068342,成都,,3.0,0.0
软件实习生,海目星激光科技集团,"['30.343704', '104.47378']",169622332,4-4.5千,成都-简阳市,本科,在校生/应届生,已上市,机械/设备/重工,2025-12-03 11:02:54,4.0,4.5,4.2,30.343704,104.47378,成都,简阳市,4.0,0.0
C/C++开发工程师,兴业数字金融服务（上海）,"['30.564434', '104.079532']",161072986,20-30万/年,成都,本科,无需经验,合资,金融/投资/证券,2025-12-08 11:20:46,16.7,25.0,20.8,30.564434,104.079532,成都,,4.0,0.0
软件测试工程师（实习生）,深圳库博能源,"['30.410441', '104.117638']",166654860,3-4千,成都-天府新区,本科,无需经验,民营,新能源,2025-12-19 10:46:08,3.0,4.0,3.5,30.410441,104.117638,成都,天府新区,4.0,0.0
C++开发工程师,四川九强通信科技,"['30.641462', '104.030152']",163165776,7千-1万·13薪,成都-武侯区,大专,1年及以上,国企,通信/电信/网络设备,2025-11-13 15:37:58,6.5,9.2,7.8,30.641462,104.030152,成都,武侯区,3.0,1.0
fpga工程师（2026届）,成都瑞迪威科技,"['30.506525', '104.093513']",166342134,1-1.2万,成都-高新区,本科,在校生/应届生,民营,电子技术/半导体/集成电路,2025-12-24 09:51:23,10.0,12.0,11.0,30.506525,104.093513,成都,高新区,4.0,0.0
硬件工程师,成都迈硕电气,"['30.753068', '103.961291']",168627094,3-5千,成都-郫都区,本科,在校生/应届生,民营,电子技术/半导体/集成电路,2025-11-04 09:03:16,3.0,5.0,4.0,30.753068,103.961291,成都,郫都区,4.0,0.0
项目经理,成都菁蓉联创科技,"['30.554107', '104.077616']",164493620,1-1.5万,成都-高新区,本科,在校生/应届生,民营,计算机软件,2025-12-10 11:02:37,10.0,15.0,12.5,30.554107,104.077616,成都,高新区,4.0,0.0
硬件工程师,石家庄鸣迅信息技术,"['30.582084', '104.068342']",162662795,8千-1万·13薪,成都,本科,无需经验,民营,计算机软件,2025-11-25 01:34:06,7.4,9.2,8.3,30.582084,104.068342,成都,,4.0,0.0
硬件工程师,民航成都电子技术,"['30.362878', '103.897573']",168014288,8千-1.5万,成都,本科,无需经验,国企,电子技术/半导体/集成电路,2025-12-26 14:43:02,8.0,15.0,11.5,30.362878,103.897573,成都,,4.0,0.0
软件工程师,上海显光芯工业软件,"['30.760195', '103.927168']",158457602,7千-1.2万,成都-郫都区,大专,在校生/应届生,民营,计算机软件,2025-11-24 16:30:46,7.0,12.0,9.5,30.760195,103.927168,成都,郫都区,3.0,0.0
电子工程师,成都吉锐时代触摸技术,"['30.619148', '104.036931']",162216944,8千-1.5万,成都-高新区,本科,1年,民营,电子技术/半导体/集成电路,2025-11-10 14:16:43,8.0,15.0,11.5,30.619148,104.036931,成都,高新区,4.0,1.0
上位机软件工程师,北京中科航天人才服务,"['30.597539', '104.071718']",164515449,1.2-2万,成都-高新区,硕士,1年及以上,国企,航天/航空,2025-12-27 08:32:26,12.0,20.0,16.0,30.597539,104.071718,成都,高新区,5.0,1.0
电机控制工程师,四川航天世源科技,"['30.500655', '104.495398']",160578620,15-30万/年,成都-简阳市,硕士,无需经验,民营,汽车,2025-11-24 15:25:39,12.5,25.0,18.8,30.500655,104.495398,成都,简阳市,5.0,0.0
c++软件开发工程师,成都图迅科技,"['30.543264', '104.064812']",147344564,1.5-2.5万·13薪,成都-高新区,硕士,1年及以上,民营,通信/电信/网络设备,2025-11-03 10:03:40,13.8,23.1,18.5,30.543264,104.064812,成都,高新区,5.0,1.0
嵌入式工程师,四川任由行通信科技,"['30.552953', '104.040735']",169911681,6-7.5千·13薪,成都,本科,无需经验,民营,电子技术/半导体/集成电路,2025-12-19 17:58:16,5.5,6.9,6.2,30.552953,104.040735,成都,,4.0,0.0
嵌入式软件工程师,成都众志天成科技,"['30.752632', '103.961747']",169468432,9千-1.5万·13薪,成都-郫都区,硕士,在校生/应届生,民营,电子技术/半导体/集成电路,2025-11-24 16:53:07,8.3,13.8,11.1,30.752632,103.961747,成都,郫都区,5.0,0.0
嵌入式开发工程师,湖北创佑科兴信息科技,"['30.692004', '104.12832']",168207754,1-1.5万,成都,本科,1年及以上,民营,计算机软件,2025-11-28 11:45:18,10.0,15.0,12.5,30.692004,104.12832,成都,,4.0,1.0
软件算法设计工程师（地址：上海）（成都）,苏州顺芯半导体,"['31.186858', '121.43842']",167879482,2.2-2.8万,上海-徐汇区,硕士,在校生/应届生,民营,电子技术/半导体/集成电路,2025-12-26 08:51:50,22.0,28.0,25.0,31.186858,121.43842,上海,徐汇区,5.0,0.0
电子助理工程师,昆山丘钛微电子科技,"['31.34106', '120.890399']",168561265,6千-1万,昆山,本科,在校生/应届生,已上市,电子技术/半导体/集成电路,2025-11-16 23:35:59,6.0,10.0,8.0,31.34106,120.890399,昆山,,4.0,0.0
高级嵌入式研发工程师,成都菁蓉联创科技,"['30.554107', '104.077616']",164494388,2-3万,成都-高新区,本科,在校生/应届生,民营,计算机软件,2025-12-10 11:02:39,20.0,30.0,25.0,30.554107,104.077616,成都,高新区,4.0,0.0
嵌入式软件工程师（校招）,安徽光智科技,"['30.61176', '104.07382']",169797879,1.1-1.6万·13薪,成都-高新区,硕士,在校生/应届生,已上市,仪器仪表/工业自动化,2025-12-12 16:55:32,10.2,14.8,12.5,30.61176,104.07382,成都,高新区,5.0,0.0
嵌入式软硬件工程师,成都三是科技,"['30.690871', '104.197274']",169493481,8千-1.2万,成都-成华区,本科,1年及以上,民营,仪器仪表/工业自动化,2025-11-25 17:22:37,8.0,12.0,10.0,30.690871,104.197274,成都,成华区,4.0,1.0
嵌入式开发工程师（初级）,成都融御歆信息技术,"['30.547122', '104.06545']",167449523,5-7千,成都-高新区,本科,1年及以上,民营,计算机软件,2025-12-25 18:57:34,5.0,7.0,6.0,30.547122,104.06545,成都,高新区,4.0,1.0
嵌入式软件开发工程师,上海柏飞电子科技,"['30.543366', '104.074997']",88757614,1-2万,成都,本科,1年,已上市,电子技术/半导体/集成电路,2025-12-26 09:04:33,10.0,20.0,15.0,30.543366,104.074997,成都,,4.0,1.0
嵌入式软件工程师,成都乐创自动化技术,"['30.52194', '104.090679']",155777716,8千-1.6万·14薪,成都-高新区,本科,1年及以上,已上市,计算机软件,2025-09-30 09:15:38,6.9,13.7,10.3,30.52194,104.090679,成都,高新区,4.0,1.0
嵌入式软件工程师,四川坤弘远祥科技,"['30.804453', '103.956302']",167784923,7千-1.2万,成都-郫都区,硕士,无需经验,合资,仪器仪表/工业自动化,2025-09-01 14:44:18,7.0,12.0,9.5,30.804453,103.956302,成都,郫都区,5.0,0.0
C++后台开发,成都臻琰科技,"['30.648713', '104.049424']",157025648,6-8千,成都-武侯区,本科,无需经验,民营,计算机软件,2025-12-28 21:03:46,6.0,8.0,7.0,30.648713,104.049424,成都,武侯区,4.0,0.0
实习生,成都宜乐芯生物科技,"['30.653955', '103.849396']",154416812,140元/天,成都-温江区,本科,在校生/应届生,民营,医疗设备/器械,2025-12-16 09:17:57,3.1,3.1,3.1,30.653955,103.849396,成都,温江区,4.0,0.0
硬件工程师实习岗位,四川科航锐科技,"['30.665568', '104.076985']",162493181,4-6千,成都-青羊区,大专,无需经验,民营,计算机软件,2025-12-26 09:50:22,4.0,6.0,5.0,30.665568,104.076985,成都,青羊区,3.0,0.0
c++开发工程师,宜宾九博信息技术,"['30.586929', '104.083059']",167848709,4-6千,成都-武侯区,大专,无需经验,民营,电子技术/半导体/集成电路,2025-11-29 09:51:11,4.0,6.0,5.0,30.586929,104.083059,成都,武侯区,3.0,0.0
软件开发工程师 - 成都(J17627),上海联影医疗科技,"['0.000000', '0.000000']",167278521,1.5-2.4万,成都,本科,在校生/应届生,民营,医疗设备/器械,2025-08-12 10:39:44,15.0,24.0,19.5,0.0,0.0,成都,,4.0,0.0
C++开发工程师实习生,四川音创伟业科技股份,"['30.554107', '104.077616']",161928506,3.5-6千·15薪,成都-高新区,本科,在校生/应届生,民营,计算机软件,2025-12-10 12:52:52,2.8,4.8,3.8,30.554107,104.077616,成都,高新区,4.0,0.0
硬件设计工程师,成都佳驰电子科技,"['30.787287', '103.848327']",166899858,1.6-3万,成都-郫都区,硕士,在校生/应届生,已上市,航天/航空,2025-07-29 17:44:48,16.0,30.0,23.0,30.787287,103.848327,成都,郫都区,5.0,0.0
初级C++开发,成都融御歆信息技术,"['30.547122', '104.06545']",167399778,5-8千,成都-高新区,本科,1年及以上,民营,计算机软件,2025-12-25 18:57:34,5.0,8.0,6.5,30.547122,104.06545,成都,高新区,4.0,1.0
产品研发部-嵌入式硬件工程师（关节研发）,天府绛溪实验室,"['30.288917', '104.388153']",166597936,,成都,硕士,无需经验,事业单位,学术/科研,2025-10-28 14:34:49,,,,30.288917,104.388153,成都,,5.0,0.0
C++开发实习生,成都融御歆信息技术,"['30.547122', '104.06545']",167399500,4-5千,成都-高新区,本科,无需经验,民营,计算机软件,2025-12-25 18:57:34,4.0,5.0,4.5,30.547122,104.06545,成都,高新区,4.0,0.0
QT软件开发工程师,四川科航锐科技,"['30.665568', '104.076985']",164429164,5-8千,成都-青羊区,本科,无需经验,民营,计算机软件,2025-12-26 09:50:22,5.0,8.0,6.5,30.665568,104.076985,成都,青羊区,4.0,0.0
物联网工程师（初级/中级）,北京骐骥优才科技,"['30.658944', '104.08633']",169591235,7千-1.1万·13薪,成都-锦江区,本科,1年及以上,民营,专业服务(咨询、人力资源、财会),2025-12-01 22:02:41,6.5,10.2,8.3,30.658944,104.08633,成都,锦江区,4.0,1.0
qt开发工程师,成都零夏八度科技,"['30.545565', '104.081865']",158419808,7-9千·13薪,成都-高新区,本科,1年及以上,民营,计算机软件,2025-12-28 20:44:11,6.5,8.3,7.4,30.545565,104.081865,成都,高新区,4.0,1.0
linux应用开发工程师,四川湖山电器,"['30.559795', '104.070278']",163412611,8千-1.5万,成都-武侯区,本科,无需经验,国企,电子技术/半导体/集成电路,2025-11-03 17:43:43,8.0,15.0,11.5,30.559795,104.070278,成都,武侯区,4.0,0.0
软件工程师（15薪+双休）,深圳众芯优创科技,"['30.875854', '103.741271']",164520350,2-4万·14薪,成都-郫都区,本科,无需经验,民营,计算机软件,2025-12-26 14:07:50,17.1,34.3,25.7,30.875854,103.741271,成都,郫都区,4.0,0.0
驱动开发工程师助理,成都睿工智能控制技术,"['30.679401', '104.072192']",169421965,6-8千,成都-青羊区,大专,无需经验,民营,建筑/建材/工程,2025-11-21 09:04:20,6.0,8.0,7.0,30.679401,104.072192,成都,青羊区,3.0,0.0
软件工程师(6险一金+14薪),深圳众芯优创科技,"['30.875854', '103.741271']",168151245,2-4万·14薪,成都-郫都区,本科,无需经验,民营,计算机软件,2025-10-09 08:53:22,17.1,34.3,25.7,30.875854,103.741271,成都,郫都区,4.0,0.0
软件开发工程师（六险一金+14薪打底）,内蒙古小草人力资源服务,"['30.876441', '103.741007']",169104918,1.5-2.5万·14薪,成都-郫都区,本科,无需经验,民营,专业服务(咨询、人力资源、财会),2025-11-05 14:40:58,12.9,21.4,17.1,30.876441,103.741007,成都,郫都区,4.0,0.0
软件测试工程师 20K-40K（六险一金+16薪）,深圳众芯优创科技,"['30.78979', '103.879466']",164907102,2-4万·16薪,成都-郫都区,本科,无需经验,民营,计算机软件,2025-12-10 08:49:47,15.0,30.0,22.5,30.78979,103.879466,成都,郫都区,4.0,0.0
软件开发（双休15薪）,深圳众芯优创科技,"['30.750131', '103.927602']",164520305,2-4万·14薪,成都-郫都区,本科,无需经验,民营,计算机软件,2025-12-12 09:05:59,17.1,34.3,25.7,30.750131,103.927602,成都,郫都区,4.0,0.0
电子工程师,四川进拓创力机械设备,"['30.620771', '104.010608']",154533713,6-9千,成都-武侯区,本科,无需经验,民营,原材料和加工,2025-12-26 08:54:14,6.0,9.0,7.5,30.620771,104.010608,成都,武侯区,4.0,0.0
电子技术研发助理工程师,宜宾九博信息技术,"['30.586929', '104.083059']",164381300,8千-1.2万,成都-武侯区,大专,1年,民营,电子技术/半导体/集成电路,2025-11-29 09:51:11,8.0,12.0,10.0,30.586929,104.083059,成都,武侯区,3.0,1.0
电子工程师助理,四川智优网络科技,"['30.58118', '103.893271']",165315940,7-8千·13薪,成都-双流区,大专,无需经验,民营,计算机软件,2025-11-20 09:19:20,6.5,7.4,6.9,30.58118,103.893271,成都,双流区,3.0,0.0
测试工程师,云南中航星北斗科技,"['30.699549', '103.971251']",168752473,1-1.2万,成都-青羊区,本科,1年及以上,民营,通信/电信/网络设备,2025-10-22 10:18:07,10.0,12.0,11.0,30.699549,103.971251,成都,青羊区,4.0,1.0
高级算法工程师,四川丹诺迪科技,"['30.621591', '104.03813']",131197781,1.5-2.5万·14薪,成都-高新区,本科,1年,民营,医疗设备/器械,2025-12-25 10:15:40,12.9,21.4,17.1,30.621591,104.03813,成都,高新区,4.0,1.0
测试双休,成都禄景合科技,"['30.639418', '104.120696']",169948659,6千-1万·13薪,成都-锦江区,大专,无需经验,民营,计算机软件,2025-12-23 11:05:34,5.5,9.2,7.4,30.639418,104.120696,成都,锦江区,3.0,0.0
音频/声学算法工程师(J10063),康希通信科技（上海）,"['30.55341', '104.065619']",163832394,1.5-3万,成都,本科,1年及以上,民营,电子技术/半导体/集成电路,2025-11-17 09:55:15,15.0,30.0,22.5,30.55341,104.065619,成都,,4.0,1.0
软件工程师（6险一金+14薪）,深圳众芯优创科技,"['30.875854', '103.741271']",164525987,2-4万·14薪,成都-郫都区,本科,无需经验,民营,计算机软件,2025-12-10 08:49:47,17.1,34.3,25.7,30.875854,103.741271,成都,郫都区,4.0,0.0
FPGA工程师(J10506),迈克生物,"['30.443745', '103.952903']",168758233,1-1.5万,成都-双流区,本科,1年,已上市,医疗设备/器械,2025-10-21 11:36:58,10.0,15.0,12.5,30.443745,103.952903,成都,双流区,4.0,1.0
算法工程师,民航成都电子技术,"['30.362878', '103.897573']",147858992,1-1.5万·15薪,成都,硕士,无需经验,国企,电子技术/半导体/集成电路,2025-12-26 14:43:02,8.0,12.0,10.0,30.362878,103.897573,成都,,5.0,0.0
软件工程师（6险一金+14薪）,深圳众芯优创科技,"['30.875854', '103.741271']",164520951,2-4万·14薪,成都-郫都区,本科,无需经验,民营,计算机软件,2025-12-13 08:59:15,17.1,34.3,25.7,30.875854,103.741271,成都,郫都区,4.0,0.0
助理测试工程师,深圳垦拓流体技术,"['30.739674', '103.98044']",165410451,5-7千,成都-郫都区,本科,无需经验,民营,医疗设备/器械,2025-12-04 08:41:22,5.0,7.0,6.0,30.739674,103.98044,成都,郫都区,4.0,0.0
助理硬件工程师（成都）,深圳市新龙鹏科技,"['30.69447', '104.080255']",149204688,8千-1万·13薪,成都-金牛区,大专,1年,民营,电子技术/半导体/集成电路,2025-12-26 18:37:46,7.4,9.2,8.3,30.69447,104.080255,成都,金牛区,3.0,1.0
软件测试工程师—版图处理,北京华大九天科技,"['30.566975', '103.89647']",122196056,1.5-3万·15薪,成都-双流区,本科,无需经验,国企,电子技术/半导体/集成电路,2025-10-20 09:38:15,12.0,24.0,18.0,30.566975,103.89647,成都,双流区,4.0,0.0
产品研发部-控制算法工程师（关节控制算法）,天府绛溪实验室,"['30.288917', '104.388153']",166598012,,成都,硕士,1年及以上,事业单位,学术/科研,2025-10-28 14:34:49,,,,30.288917,104.388153,成都,,5.0,1.0
模块测试工程师（校招）,成都锐芯盛通电子科技,"['30.367833', '103.691707']",147890660,4-6千,成都,大专,在校生/应届生,民营,电子技术/半导体/集成电路,2025-11-24 11:53:14,4.0,6.0,5.0,30.367833,103.691707,成都,,3.0,0.0
第三方软件测试工程师,广电计量检测（成都）,"['30.637055', '103.992589']",165357526,8千-1.5万,成都-武侯区,本科,1年及以上,国企,电子技术/半导体/集成电路,2025-12-10 11:07:10,8.0,15.0,11.5,30.637055,103.992589,成都,武侯区,4.0,1.0
产品经理管培生,成都戎创航空科技,"['30.699977', '104.190713']",168688431,3-5千·13薪,成都-成华区,本科,在校生/应届生,民营,航天/航空,2025-10-23 18:02:26,2.8,4.6,3.7,30.699977,104.190713,成都,成华区,4.0,0.0
软件测试工程师—数字后端,北京华大九天科技,"['30.597732', '103.907227']",122196121,1-1.5万,成都-双流区,本科,无需经验,国企,电子技术/半导体/集成电路,2025-10-23 15:27:03,10.0,15.0,12.5,30.597732,103.907227,成都,双流区,4.0,0.0
大模型算法工程师,石家庄鸣迅信息技术,"['30.582084', '104.068342']",162660960,1-1.5万·13薪,成都,本科,无需经验,民营,计算机软件,2025-11-25 01:34:24,9.2,13.8,11.5,30.582084,104.068342,成都,,4.0,0.0
研发项目助理,林克斯智能系统（成都）,"['30.546249', '104.069712']",168288101,4.8-6.5千,成都-高新区,大专,无需经验,民营,计算机服务(系统、数据服务、维修),2025-09-23 10:41:56,4.8,6.5,5.7,30.546249,104.069712,成都,高新区,3.0,0.0
单片机工程师,上海翱莺智能科技,"['30.564266', '104.068112']",166205845,8千-1.3万·13薪,成都-武侯区,大专,无需经验,民营,电子技术/半导体/集成电路,2025-12-09 11:20:48,7.4,12.0,9.7,30.564266,104.068112,成都,武侯区,3.0,0.0
鸿蒙物联网开发工程师/助理,四川纳贝卓科技,"['30.600939', '104.069084']",164515862,3-6千,成都-高新区,大专,无需经验,民营,计算机软件,2025-12-26 08:53:07,3.0,6.0,4.5,30.600939,104.069084,成都,高新区,3.0,0.0
C/C++开发,成都蜀智云创科技,"['30.610781', '103.985947']",164098977,7千-1万,成都-武侯区,本科,无需经验,民营,电子技术/半导体/集成电路,2025-12-26 14:33:57,7.0,10.0,8.5,30.610781,103.985947,成都,武侯区,4.0,0.0
软件助理工程师,四川省卓悦人力资源服务,"['30.812603', '103.923255']",165279727,4-7千,成都-郫都区,大专,无需经验,民营,专业服务(咨询、人力资源、财会),2025-11-12 14:28:46,4.0,7.0,5.5,30.812603,103.923255,成都,郫都区,3.0,0.0
电子工程师（初级/中级）,上海翱莺智能科技,"['30.564266', '104.068112']",169722505,7千-1.4万·13薪,成都-武侯区,本科,1年,民营,电子技术/半导体/集成电路,2025-12-09 11:19:55,6.5,12.9,9.7,30.564266,104.068112,成都,武侯区,4.0,1.0
C++/QT开发工程师,四川纳贝卓科技,"['30.600939', '104.069084']",164515986,4-6千,成都-高新区,大专,无需经验,民营,计算机软件,2025-12-26 08:53:06,4.0,6.0,5.0,30.600939,104.069084,成都,高新区,3.0,0.0
物联网平台软件开发工程师,成都蜀智云创科技,"['30.610781', '103.985947']",164292556,5-9千,成都-武侯区,大专,无需经验,民营,电子技术/半导体/集成电路,2025-12-26 14:33:58,5.0,9.0,7.0,30.610781,103.985947,成都,武侯区,3.0,0.0
电子工程师助理,四川志辰聚友网络科技,"['30.793696', '103.904181']",168190425,6-8千,成都-郫都区,大专,无需经验,民营,机械/设备/重工,2025-11-12 09:56:36,6.0,8.0,7.0,30.793696,103.904181,成都,郫都区,3.0,0.0
软件开发工程师（初级/中级）,上海翱莺智能科技,"['30.564266', '104.068112']",169777958,7千-1.4万·14薪,成都-武侯区,本科,1年及以上,民营,电子技术/半导体/集成电路,2025-12-11 16:51:04,6.0,12.0,9.0,30.564266,104.068112,成都,武侯区,4.0,1.0
汽车电子硬件工程师,四川纳贝卓科技,"['30.600939', '104.069084']",164520476,6千-1.2万,成都-高新区,大专,无需经验,民营,计算机软件,2025-12-26 08:53:07,6.0,12.0,9.0,30.600939,104.069084,成都,高新区,3.0,0.0
算法实习生,成都蜀智云创科技,"['30.610781', '103.985947']",165403263,4-5千,成都-武侯区,本科,无需经验,民营,电子技术/半导体/集成电路,2025-12-26 14:33:58,4.0,5.0,4.5,30.610781,103.985947,成都,武侯区,4.0,0.0
电子设备测试工程师助理（小白有师傅带）,四川志辰聚友网络科技,"['30.593276', '104.219417']",167795318,7-9千·13薪,成都-龙泉驿区,大专,无需经验,民营,电子技术/半导体/集成电路,2025-12-01 09:37:46,6.5,8.3,7.4,30.593276,104.219417,成都,龙泉驿区,3.0,0.0
初级硬件工程师,上海翱莺智能科技,"['30.564266', '104.068112']",166097735,8千-1.1万·13薪,成都-武侯区,本科,无需经验,民营,电子技术/半导体/集成电路,2025-12-09 11:20:59,7.4,10.2,8.8,30.564266,104.068112,成都,武侯区,4.0,0.0
fpga工程师（实习生）,四川纳贝卓科技,"['30.600939', '104.069084']",165006374,4-6千,成都-高新区,本科,无需经验,民营,计算机软件,2025-12-26 08:53:07,4.0,6.0,5.0,30.600939,104.069084,成都,高新区,4.0,0.0
测试工程师,成都蜀智云创科技,"['30.610781', '103.985947']",164291647,5千-1万,成都-武侯区,本科,无需经验,民营,电子技术/半导体/集成电路,2025-12-26 14:33:58,5.0,10.0,7.5,30.610781,103.985947,成都,武侯区,4.0,0.0
6k初级软件测试工程师,成都顶泰信息技术,"['30.648678', '104.099627']",168853510,6千-1.2万·13薪,成都-锦江区,大专,无需经验,民营,电子技术/半导体/集成电路,2025-11-05 08:09:36,5.5,11.1,8.3,30.648678,104.099627,成都,锦江区,3.0,0.0
