职位名称,公司名称,经纬度,jobid,薪资,城市,学历要求,经验要求,公司性质,行业,发布时间,薪资下限(k),薪资上限(k),平均薪资(k),纬度,经度,主城市,区县,学历等级,经验年限
软件测试工程师+六险一金+14薪,内蒙古小草人力资源服务,"['30.771712', '103.903199']",167884693,2-4万,成都,本科,无需经验,民营,专业服务(咨询、人力资源、财会),2025-10-20 18:24:34,10.0,20.0,15.0,30.771712,103.903199,成都,,4.0,0.0
车载测试,重庆喜相连科技,"['30.552843', '104.043195']",167971732,5-7千,成都,大专,无需经验,民营,计算机软件,2025-12-28 15:45:07,180.0,250.0,215.0,30.552843,104.043195,成都,,3.0,0.0
雷达工程师（电磁学）,成都正久医讯科技,"['30.616454', '104.09159']",163410434,2-4万,成都-武侯区,硕士,1年及以上,民营,医疗/护理/卫生,2025-12-26 09:11:56,6.0,8.0,7.0,30.616454,104.09159,成都,武侯区,5.0,1.0
成都软件测试工程师（六险一金，14薪）,深圳众芯优创科技,"['30.875854', '103.741271']",164520303,2-4万·14薪,成都-郫都区,本科,无需经验,民营,计算机软件,2025-12-26 09:19:10,5.0,8.0,6.5,30.875854,103.741271,成都,郫都区,4.0,0.0
仪器工程师（国企）,成都星云智联科技,"['30.69643', '104.05715']",169478390,8千-1万,成都-金牛区,本科,无需经验,国企,计算机软件,2025-12-26 11:32:53,5.0,7.0,6.0,30.69643,104.05715,成都,金牛区,4.0,0.0
算法工程师,成都众志天成科技,"['30.752632', '103.961747']",169888860,1-2万·13薪,成都-郫都区,硕士,无需经验,民营,电子技术/半导体/集成电路,2025-12-18 15:56:19,150.0,200.0,175.0,30.752632,103.961747,成都,郫都区,5.0,0.0
测试工程师助理,成都至诚云连通信科技,"['30.685917', '104.150751']",164309668,5-8千,成都-成华区,本科,无需经验,民营,通信/电信/网络设备,2025-12-26 08:54:22,20.0,40.0,30.0,30.685917,104.150751,成都,成华区,4.0,0.0
底薪6000急招软件测试实习,成都才梓科技,"['30.600968', '104.069726']",153752919,4-6千,成都-武侯区,本科,无需经验,民营,计算机软件,2025-11-19 10:40:27,,,,30.600968,104.069726,成都,武侯区,4.0,0.0
车载测试工程师,成都至诚云连通信科技,"['30.685917', '104.150751']",167261902,5-8千·13薪,成都-成华区,大专,无需经验,民营,通信/电信/网络设备,2025-12-26 08:54:22,9.0,12.0,10.5,30.685917,104.150751,成都,成华区,3.0,0.0
电子工程师助理,成都安铭汇信息技术,"['30.547993', '104.077834']",162905508,9千-1.2万,成都-武侯区,大专,无需经验,民营,计算机软件,2025-11-24 11:38:53,4.0,8.0,6.0,30.547993,104.077834,成都,武侯区,3.0,0.0
助理电子工程师,成都睿工智能控制技术,"['30.679401', '104.072192']",169215967,6-8千,成都-青羊区,大专,无需经验,民营,建筑/建材/工程,2025-11-11 10:11:56,6.0,8.0,7.0,30.679401,104.072192,成都,青羊区,3.0,0.0
测试工程师,四川科航锐科技,"['30.665568', '104.076985']",162492779,5-8千,成都-青羊区,大专,无需经验,民营,计算机软件,2025-12-26 09:50:22,7.5,11.0,9.2,30.665568,104.076985,成都,青羊区,3.0,0.0
无人机应用技术,四川现代职业学院,"['30.523528', '104.004552']",168593163,5-8千,成都-双流区,硕士,1年及以上,民营,教育/培训/院校,2025-10-14 08:21:55,90.0,120.0,105.0,30.523528,104.004552,成都,双流区,5.0,1.0
数模混合硬件工程师,中国电子科技集团公司第十研究所,"['0.000000', '0.000000']",168131392,1.5-2万,成都,硕士,在校生/应届生,事业单位,电子技术/半导体/集成电路,2025-11-12 10:13:47,,,,0.0,0.0,成都,,5.0,0.0
测试工程师/实习生,四川进拓创力机械设备,"['30.620771', '104.010608']",152104285,3-5千,成都-武侯区,大专,无需经验,民营,原材料和加工,2025-12-26 08:54:14,3.0,6.0,4.5,30.620771,104.010608,成都,武侯区,3.0,0.0
核心网工程师实习生,四川科达锐信息技术,"['30.565569', '104.281814']",169342723,5-7千·13薪,成都,大专,无需经验,民营,计算机软件,2025-11-17 17:44:21,4.0,7.0,5.5,30.565569,104.281814,成都,,3.0,0.0
硬件测试工程师7000+,四川畅讯建设工程,"['30.513995', '104.059227']",168699786,7-8千,成都-高新区,大专,无需经验,民营,通信/电信/网络设备,2025-12-26 09:17:40,10.0,15.0,12.5,30.513995,104.059227,成都,高新区,3.0,0.0
硬件测试助理工程师,成都至诚云连通信科技,"['30.685917', '104.150751']",164308315,5-8千,成都-成华区,大专,无需经验,民营,通信/电信/网络设备,2025-12-26 08:54:22,5.0,8.0,6.5,30.685917,104.150751,成都,成华区,3.0,0.0
FPGA工程师,成都微光集电科技,"['30.554107', '104.077616']",161969920,1.5-3万·13薪,成都-高新区,本科,在校生/应届生,民营,计算机软件,2025-12-10 12:52:37,6.0,12.0,9.0,30.554107,104.077616,成都,高新区,4.0,0.0
2026-软件工程师-成都(J10247),恒玄科技（上海）,"['30.54701', '104.06945']",166672865,1.5-3万·15薪,成都-武侯区,硕士,在校生/应届生,已上市,电子技术/半导体/集成电路,2025-10-23 10:32:16,12.0,20.0,16.0,30.54701,104.06945,成都,武侯区,5.0,0.0
app软件测试助理,成都至诚云连通信科技,"['30.685917', '104.150751']",164311082,4-7千,成都-成华区,大专,无需经验,民营,通信/电信/网络设备,2025-12-26 08:54:22,4.0,8.0,6.0,30.685917,104.150751,成都,成华区,3.0,0.0
高级通信研发工程师 (NR/LTE),叠拓信息技术（北京）有限公司成都分,"['30.554107', '104.077616']",164493284,1.5-2.6万,成都-高新区,本科,在校生/应届生,外资（欧美）,计算机软件,2025-12-10 11:02:19,10.0,15.0,12.5,30.554107,104.077616,成都,高新区,4.0,0.0
电子工程师,上海合益众信生物科技,"['30.722895', '103.907606']",168794950,6千-1.2万·13薪,成都,大专,无需经验,民营,制药/生物工程,2025-12-17 15:09:42,15.0,18.0,16.5,30.722895,103.907606,成都,,3.0,0.0
日本总部工作 软件工程师,阿迩贝司机电技术（上海）,"['31.226847', '121.430451']",156710027,1.1-1.3万,上海-长宁区,本科,在校生/应届生,外资（非欧美）,机械/设备/重工,2025-11-24 11:10:32,7.0,12.0,9.5,31.226847,121.430451,上海,长宁区,4.0,0.0
机械自动化控制工程师,飞秒创芯（成都）光电技术,"['30.414722', '104.116381']",169073109,1-2万,成都-天府新区,本科,1年及以上,民营,电子技术/半导体/集成电路,2025-11-04 13:59:33,8.0,14.0,11.0,30.414722,104.116381,成都,天府新区,4.0,1.0
Linux系统软件研发工程师,成都熊谷加世电器,"['30.764109', '103.916966']",150707377,18-25万/年,成都-郫都区,硕士,在校生/应届生,民营,机械/设备/重工,2025-11-22 11:59:17,200.0,230.0,215.0,30.764109,103.916966,成都,郫都区,5.0,0.0
智能硬件开发工程师,成都睿工智能控制技术,"['30.679401', '104.072192']",168833184,6-8千,成都-青羊区,大专,无需经验,民营,建筑/建材/工程,2025-11-05 09:24:43,,,,30.679401,104.072192,成都,青羊区,3.0,0.0
初级机器人工程师,四川新智极机械,"['30.713469', '104.034868']",161412508,5-8千,成都-金牛区,大专,无需经验,民营,电子技术/半导体/集成电路,2025-12-18 09:06:48,,,,30.713469,104.034868,成都,金牛区,3.0,0.0
